วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
1-May-22,97493.40,"94,960.40","97,800.00","94,199.40",0.03K,2.67%
30-Apr-22,94960.40,"97,000.00","97,999.90","94,390.50",0.02K,-2.10%
29-Apr-22,97000.00,"100,136.30","100,201.00","96,500.00",0.04K,-3.13%
28-Apr-22,100136.30,"99,446.00","101,498.00","98,000.00",0.03K,0.69%
27-Apr-22,99446.00,"96,505.60","99,999.00","96,505.60",0.02K,3.05%
26-Apr-22,96505.60,"102,500.00","102,500.00","95,500.00",0.03K,-5.85%
25-Apr-22,102500.00,"100,000.00","102,500.00","96,000.00",0.06K,2.50%
24-Apr-22,100000.00,"99,825.10","100,720.10","99,500.00",0.01K,0.18%
23-Apr-22,99825.10,"100,300.00","101,427.50","99,421.60",0.01K,-0.47%
22-Apr-22,100300.00,"101,250.00","102,824.20","100,288.90",0.01K,-0.94%
21-Apr-22,101250.00,"104,300.00","106,683.40","100,295.40",0.03K,-2.92%
20-Apr-22,104300.00,"103,517.70","106,000.00","102,655.00",0.03K,0.76%
19-Apr-22,103517.70,"102,969.70","105,000.00","101,500.00",0.02K,0.53%
18-Apr-22,102969.70,"101,350.00","103,433.30","98,010.00",0.04K,1.60%
17-Apr-22,101350.00,"103,350.00","104,000.00","100,795.00",0.01K,-1.94%
16-Apr-22,103350.00,"102,897.60","104,000.00","101,924.80",0.01K,0.44%
15-Apr-22,102897.60,"102,150.00","103,500.00","101,500.00",0.01K,0.73%
14-Apr-22,102150.00,"105,304.00","106,247.20","101,000.00",0.02K,-3.00%
13-Apr-22,105304.00,"102,276.30","105,304.00","101,500.00",0.01K,2.96%
12-Apr-22,102276.30,"101,900.00","104,000.00","100,237.30",0.02K,0.37%
11-Apr-22,101900.00,"108,690.00","108,788.70","100,100.00",0.03K,-6.25%
10-Apr-22,108690.00,"108,546.40","110,951.50","108,500.90",0.02K,0.13%
9-Apr-22,108546.40,"108,242.10","110,000.00","107,500.00",0.01K,0.28%
8-Apr-22,108242.10,"109,425.80","111,699.90","107,700.00",0.02K,-1.08%
7-Apr-22,109425.80,"107,000.00","109,999.90","106,300.00",0.03K,2.27%
6-Apr-22,107000.00,"115,100.00","115,100.00","107,000.00",0.04K,-7.04%
5-Apr-22,115100.00,"118,000.00","118,516.90","115,100.00",0.04K,-2.46%
4-Apr-22,118000.00,"118,200.00","118,200.00","115,009.00",0.03K,-0.17%
3-Apr-22,118200.00,"116,428.50","119,990.00","115,000.00",0.03K,1.52%
2-Apr-22,116428.50,"115,500.00","118,299.00","115,500.00",0.05K,0.80%
1-Apr-22,115500.00,"109,610.00","116,000.00","108,200.00",0.04K,5.37%
31-Mar-22,109610.00,"113,090.80","114,800.00","109,181.30",0.06K,-3.08%
30-Mar-22,113090.80,"114,405.10","115,062.80","112,099.00",0.04K,-1.15%
29-Mar-22,114405.10,"112,211.30","116,999.90","112,009.10",0.07K,1.96%
28-Mar-22,112211.30,"110,390.00","115,200.00","109,474.70",0.07K,1.65%
27-Mar-22,110390.00,"105,199.30","110,390.00","104,500.10",0.05K,4.93%
26-Mar-22,105199.30,"104,634.50","105,900.00","103,500.30",0.03K,0.54%
25-Mar-22,104634.50,"103,200.00","107,000.00","103,200.00",0.06K,1.39%
24-Mar-22,103200.00,"100,842.90","104,499.00","100,842.60",0.05K,2.34%
23-Mar-22,100842.90,"99,610.10","101,500.00","98,171.20",0.09K,1.24%
22-Mar-22,99610.10,"98,000.00","100,998.00","96,386.60",0.08K,1.64%
21-Mar-22,98000.00,"95,854.90","98,500.00","94,731.70",0.02K,2.24%
20-Mar-22,95854.90,"98,023.60","98,700.00","94,000.00",0.04K,-2.21%
19-Mar-22,98023.60,"98,250.00","99,000.00","96,859.80",0.03K,-0.23%
18-Mar-22,98250.00,"92,895.90","99,220.00","92,249.00",0.06K,5.76%
17-Mar-22,92895.90,"92,000.00","94,222.00","90,571.80",0.05K,0.97%
16-Mar-22,92000.00,"87,400.00","92,000.00","87,000.00",0.05K,5.26%
15-Mar-22,87400.00,"86,767.70","88,707.80","84,500.00",0.03K,0.73%
14-Mar-22,86767.70,"85,101.50","87,500.00","83,685.70",0.03K,1.96%
13-Mar-22,85101.50,"86,899.90","86,900.00","83,668.60",0.02K,-2.07%
12-Mar-22,86899.90,"85,925.90","87,075.80","85,400.00",0.01K,1.13%
11-Mar-22,85925.90,"87,666.00","89,000.00","84,859.50",0.03K,-1.98%
10-Mar-22,87666.00,"90,432.10","90,432.10","85,367.90",0.03K,-3.06%
9-Mar-22,90432.10,"86,010.70","92,000.00","85,572.10",0.07K,5.14%
8-Mar-22,86010.70,"83,000.00","86,800.00","82,737.00",0.02K,3.63%
7-Mar-22,83000.00,"85,970.30","87,100.10","81,500.00",0.05K,-3.45%
6-Mar-22,85970.30,"88,000.00","89,675.50","84,500.00",0.02K,-2.31%
